source,target
74203,110273
249884,122043
249884,115528
250928,101271
441416,441103
441416,441104
441416,441105
441720,441721
442245,442252
467130,577636
468807,62712
471267,565563
471267,565564
471267,565565
478540,523434
486179,505845
486179,505849
456739,456855
456739,456856
456739,456885
456843,457019
456844,565005
456891,527441
445768,86769
447818,448986
447818,448996
494001,145011
494156,126788
519721,115568
188916,482148
188916,454012
179273,126994
179273,10840
179273,119265
549087,447739
556484,556482
561453,561466
1066896,1066903
1066896,1066902
1066896,1066906
1066896,1066905
1066896,1066904
155429,57770
206192,90587
236247,78590
495547,495415
39143,448414
39949,39935
39949,39936
39949,39937
39949,39939
39950,557221
39950,557222
39950,39943
39950,39947
39971,39955
39972,39958
39972,39967
39973,39960
39973,39961
39973,39968
40098,40088
40098,40089
40098,40090
40098,40092
40099,40087
40099,40096
40213,40180
40213,40181
111183,108695
102113,412909
303277,245760
543316,39965
26449,456886
26449,230720
570399,555077
1043104,1061935
1043104,1043112
1043104,1043110
1043104,1043106
1043104,1043105
1043104,1043108
1043104,1043109
1043104,1043113
1043104,1043111
1043104,1043107
1043127,1043133
1043127,1043131
1043127,1043132
1043127,1043129
1043127,1043128
1043127,1043130
472841,240260
562823,90943
562823,230060
565569,565576
565569,565577
565578,565582
473225,473017
476677,426728
431521,431522
1030832,556843
493924,523325
493924,549856
493924,520817
493924,40056
493924,40057
493924,40062
408955,408956
93774,550067
473233,473234
543490,543501
543490,543506
543490,543502
543490,543505
543490,543504
543489,543498
543489,543497
543489,543499
543491,543541
543491,543539
543491,543540
543488,558370
543488,543496
543488,543494
543488,543495
543488,543493
1072975,1072972
1072975,1054732
1072975,220810
1072975,207470
482150,257223
482150,109007
313601,110729
313601,200106
57865,509679
57964,466080
57964,57945
57964,16536
423090,206039
423090,1061297
423090,415996
423090,420402
423090,213693
423090,464236
423083,206035
423083,1061387
423083,206036
423083,450090
423083,568149
423083,532081
423083,478613
423084,445522
423084,107895
423084,529408
423084,206038
423084,206041
423084,206043
423084,464237
423086,577947
423086,407170
423086,568148
423086,150772
423086,420403
423086,178243
423086,205125
423086,423139
423085,415986
423085,529415
423085,540248
423085,456092
1043340,1043341
1043340,1043343
1043340,1043342
1043344,1063531
1043344,1043347
1043344,1043346
1043344,1043345
190826,480257
95568,542869
95568,542857
95568,542870
95568,451446
95598,542869
95598,542857
95598,542870
95598,451446
566965,542869
566965,451446
566965,542864
95571,542869
95571,451446
495171,495172
553963,553967
553963,553783
553963,553968
553963,553782
400034,560916
400034,560917
400034,560925
400034,560912
400034,560914
400034,560915
400034,560911
400034,560913
400034,560924
555997,556161
555997,398390
555997,556162
1052802,1052803
1052802,1052804
1052809,1052812
1052809,1056413
1052809,1052811
1052714,1052755
1052714,1052715
1052714,1052776
1052813,1052815
1052813,1052814
1052813,1052816
1052792,1052805
1052792,1052800
1052792,452337
1004704,1004708
1004704,1004711
1004704,1004710
1004704,1004707
1004704,1004713
1004704,1004709
1004704,1004705
1004704,1004706
1004704,1004712
1004704,1004714
1004716,1004731
1004716,1004725
1004716,1004717
1004716,1004728
1004716,1004718
1004716,1004729
1004716,1004730
1004716,1004724
1004716,1004723
1004716,1004719
1004716,1004733
1004716,1004732
1004716,1004722
1004716,1004727
1004716,1004721
1004716,1004720
1004716,1004726
1004737,1004744
1004737,1004747
1004737,1004743
1004737,1004742
1004737,1004741
1004737,1004740
1004737,1004739
1004737,1004738
1004737,1004746
1004737,1004745
1043235,1057997
1043235,1061167
1043235,1043242
1043235,1061169
1043235,1057995
1043235,1043236
1043235,1043237
1043235,1043238
1043235,1043240
1043235,1043243
1043235,1043244
1043235,1043245
1043235,1043246
1043235,1043248
1043235,1043249
1043235,1043250
1043235,1043251
1043235,1043252
1043235,1043253
451999,211142
451999,1060936
451999,478607
452156,1001089
452156,83696
452156,242047
452156,178918
452156,59920
452157,59922
452157,59923
452157,59921
452157,86292
452157,59924
452157,536044
452158,205300
452158,205305
452158,205306
452158,1069625
452158,205304
452158,179332
452158,59927
452158,59925
223602,524587
223602,92924
229658,1052470
229658,438077
229658,1073177
229658,1002442
229658,1005810
552749,439073
552749,1073343
552749,1084727
552749,1005814
1043175,1043176
1043175,1043177
1043175,1043179
1043175,1043178
1066991,1067371
1066991,1067471
1066991,1066999
101615,422000
1081265,1077183
572189,1082555
572189,1083358
541974,580584
156178,486782
156178,523548
156178,237468
567699,567700
1043159,1043161
1043159,1043165
1043159,1043164
1043159,1043160
1043159,1043163
1043159,1043162
1061087,1061098
1061087,1061097
1061087,1061089
1061087,1061099
1061087,1061096
1061087,1061090
1061087,1061100
1061087,1061088
209299,101047
247331,134426
247331,40319
247331,260964
247331,418486
247331,40313
247331,247338
247331,103762
542011,555601
542011,555603
542011,555602
1063695,1063699
1063695,1063696
1063695,1063697
1063695,1063698
1043285,1061079
1043285,1043289
1043285,1043287
1043285,1061075
1043285,1061263
1043285,1043292
1043285,1043293
1043285,1061077
498,418472
498,418473
498,418474
498,418475
498,418476
498,418478
498,418479
498,560529
498,560528
498,560530
1401,13564
1401,40305
1401,40309
1401,561836
1401,168400
1401,418492
1401,418493
1401,418494
1401,418497
1401,418500
40416,93273
247323,418467
247323,418468
247323,418469
247323,418470
247323,418471
247323,1007269
247323,418464
247323,418466
247323,418465
456797,565315
456797,523782
456797,1006986
456797,565255
456797,459989
456797,459990
456797,459991
456797,459992
456797,459995
456797,460001
456797,460002
456797,460003
456797,460004
456797,460005
456797,460011
456797,460012
456797,460014
456797,460018
456797,1006989
459983,565575
459983,460019
459983,460021
459983,460023
459983,460025
459983,460028
459983,565490
459984,230688
459984,565492
459984,460029
459984,460032
459984,460033
459984,460035
459984,460041
459984,460043
459984,460045
459984,460046
459984,460964
459984,523992
459985,10226
459985,40443
459985,40470
459985,49431
459985,439090
459985,460049
459985,460050
459985,460051
459985,460053
459985,460055
459985,460056
459985,460057
459985,460058
459985,460059
459985,460063
459986,40480
459986,523993
459986,460066
459986,460067
459986,460068
459986,460070
459986,460076
459986,460077
459987,176990
459987,438718
459987,460080
459987,460081
459987,460082
459987,460083
459987,460084
459987,460085
459987,460086
459987,460087
459987,460088
459987,460089
459987,460090
39996,39989
39996,490118
39996,263155
39999,39983
39999,39986
39999,39987
39999,39990
39999,39992
39999,39995
40000,39991
40000,39994
40000,39997
40492,532097
40492,40468
40492,534011
40492,40448
40492,532095
40492,532096
40492,532098
40493,40486
40493,531267
40493,531268
40493,40451
40493,531265
40493,531266
40494,40455
40494,40458
40494,478831
21582,427676
1065373,1062145
1065373,1062147
1065373,1062149
1065371,1062146
1065371,1062148
1065371,1065303
1065371,1062145
1065374,1062150
1065374,1062140
1065374,1062137
1065374,1062151
1065374,1062144
1065374,1062152
1065370,1065304
1065370,1062141
1065372,1062143
1065372,1062142
40023,40016
40023,40018
40023,40020
40025,40014
40025,40017
40025,413150
40025,574371
456004,40015
456004,186210
456004,574370
40009,40005
40009,40006
40009,40008
40010,40004
40010,40007
40010,40003
40012,187074
456086,455697
1043334,1043336
1043334,1043338
1043334,1043339
1043334,1043337
1043334,1043335
1081086,472167
28519,477344
28519,477909
28519,456651
28519,456652
28519,456657
28519,456704
28519,456709
28519,456714
28519,457003
28519,528983
28519,28460
28519,456656
456741,456858
456741,456859
456741,29518
59772,554076
150180,434424
150180,261630
150180,457004
150180,165205
529263,492279
529263,482833
529263,575556
222633,40132
222633,40135
222633,447359
241319,40197
241319,40207
241319,184143
241319,40201
1071779,1071830
1071779,1071828
1071779,1071829
1071779,1071825
1071779,1071824
1071779,1071826
528161,577943
528161,231395
528161,459849
528161,91568
528161,560488
528161,40138
528161,40137
528161,40119
528161,560489
528161,441099
528160,1071256
528160,56955
528160,40202
1051131,1051133
1051131,1051135
1051131,1051134
1051131,1051132
1051136,1051137
1051136,1051139
1051136,1051138
491232,1003580
491232,553761
491232,491278
491232,491299
491232,525244
491231,1003571
491231,491693
491231,491655
491231,491479
491231,1003581
491231,491653
491231,543358
491177,1003569
491177,491181
491177,525242
491177,491312
491177,491313
491183,1003576
491183,1071247
491183,491187
491230,1003575
491230,491414
491230,491419
491230,491438
491230,1003577
491230,560015
491188,1003579
491188,1003568
491188,491210
491188,491212
491188,491215
491188,491189
491188,491207
491188,491208
490900,1084529
490900,490914
490900,490909
490900,491076
490900,525247
490900,1084528
490900,1003572
